date,pub,pri,desc
2026-09-05 21:28:28.977000,,,"retry-hv/jed-r-auto-ab: confused_k=0,confused_ascii=1,confused_bare=1"
2026-09-05 21:27:49.270000,,,"combo/jed-cd-verbasc-f99: confused_k=1,confused_verbose=1,confused_ascii=1,replay_safe_frac=0.99"
2026-09-05 21:27:36.930000,,,"retry-hv/jed-r-verb-nf: confused_k=1,confused_verbose=1"
2026-09-05 21:26:56.630000,,,"combo/jed-cd-max8: confused_k=8,confused_ascii=1,replay_safe_frac=0.99,split_by_latency=1"
2026-09-05 21:26:45.107000,,,"retry-hv/jed-r-nf-asc: confused_k=1,confused_ascii=1"
2026-09-05 21:26:04.823000,,,"combo/jed-cd-max6: confused_k=6,confused_ascii=1,replay_safe_frac=0.995"
2026-09-05 21:25:53.273000,,,"retry-hv/jed-r-verbasc-f99: confused_k=1,confused_verbose=1,confused_ascii=1,replay_safe_frac=0.99"
2026-09-05 21:25:12.450000,,,"combo/jed-cd-max1: confused_k=1,confused_ascii=1,confused_bare=1,replay_safe_frac=0.995"
2026-09-05 21:25:01.083000,,,"retry-hv/jed-r-bare: confused_k=1,confused_bare=1"
2026-09-05 21:24:19.950000,,,"combo/jed-cd-verb-nf: confused_k=1,confused_verbose=1"
2026-09-05 21:24:09.367000,,,"retry-hv/jed-r-header: confused_k=1,confused_header=1"
2026-09-05 21:23:27.540000,,,"combo/jed-cd-nf-asc: confused_k=1,confused_ascii=1"
2026-09-05 21:23:17.643000,,,"retry-hv/jed-r-max8: confused_k=8,confused_ascii=1,replay_safe_frac=0.99,split_by_latency=1"
2026-09-05 21:22:35.357000,,,"combo/jed-cd-auto-sk6: confused_k=0,confused_slow_k=6"
2026-09-05 21:22:24.870000,,,"retry-hv/jed-r-max6: confused_k=6,confused_ascii=1,replay_safe_frac=0.995"
2026-09-05 21:21:43.820000,,,"combo/jed-cd-auto-sk5: confused_k=0,confused_slow_k=5"
2026-09-05 21:21:32.640000,,,"retry-hv/jed-r-max1: confused_k=1,confused_ascii=1,confused_bare=1,replay_safe_frac=0.995"
2026-09-05 21:20:51.767000,,,"combo/jed-cd-auto-sk3: confused_k=0,confused_slow_k=3"
2026-09-05 21:20:34.160000,,,"combo2/jed-cd-stk6v: confused_k=6,confused_verbose=1,confused_ascii=1,replay_safe_frac=0.99"
2026-09-05 21:19:59.547000,,,"combo/jed-cd-k1-f95: confused_k=1,replay_safe_frac=0.95"
