model,variant,kind,cand,fired,true_gen_tokens,turns,wall_s
gpt_oss,conf_base,shave,0,1,38,2,2.57
gpt_oss,conf_base,shave,1,1,36,2,0.98
gpt_oss,conf_base,shave,2,1,36,2,0.91
gpt_oss,conf_base,shave,3,1,36,2,0.9
gpt_oss,conf_base,shave,4,1,37,2,0.92
gpt_oss,conf_base,shave,5,1,36,2,0.89
gpt_oss,conf_base,shave,6,1,36,2,0.89
gpt_oss,conf_base,shave,7,1,36,2,0.9
gpt_oss,conf_base,shave,8,1,36,2,0.89
gpt_oss,conf_base,shave,9,1,36,2,0.91
gpt_oss,conf_base,shave,10,1,36,2,0.9
gpt_oss,conf_base,shave,11,1,36,2,0.91
gpt_oss,conf_base,shave,12,1,36,2,0.89
gpt_oss,conf_base,shave,13,1,36,2,0.9
gpt_oss,conf_base,shave,14,1,36,2,0.9
gpt_oss,conf_base,shave,15,1,36,2,0.89
gpt_oss,conf_base,shave,16,1,36,2,0.91
gpt_oss,conf_base,shave,17,1,38,2,0.93
gpt_oss,conf_base,shave,18,1,36,2,0.9
gpt_oss,conf_base,shave,19,1,38,2,0.93
gpt_oss,conf_zwsp_kw,shave,0,1,36,2,0.97
gpt_oss,conf_zwsp_kw,shave,1,1,36,2,0.91
gpt_oss,conf_zwsp_kw,shave,2,1,36,2,0.91
gpt_oss,conf_zwsp_kw,shave,3,1,36,2,0.89
gpt_oss,conf_zwsp_kw,shave,4,1,36,2,0.91
gpt_oss,conf_zwsp_kw,shave,5,1,36,2,0.91
gpt_oss,conf_zwsp_kw,shave,6,1,36,2,0.91
gpt_oss,conf_zwsp_kw,shave,7,1,36,2,0.9
gpt_oss,conf_zwsp_kw,shave,8,1,36,2,0.92
gpt_oss,conf_zwsp_kw,shave,9,1,36,2,0.92
gpt_oss,conf_zwsp_kw,shave,10,1,36,2,0.92
gpt_oss,conf_zwsp_kw,shave,11,1,36,2,0.93
gpt_oss,conf_zwsp_kw,shave,12,1,36,2,0.91
gpt_oss,conf_zwsp_kw,shave,13,1,36,2,0.91
gpt_oss,conf_zwsp_kw,shave,14,1,36,2,0.9
gpt_oss,conf_zwsp_kw,shave,15,1,36,2,0.9
gpt_oss,conf_zwsp_kw,shave,16,1,36,2,0.91
gpt_oss,conf_zwsp_kw,shave,17,1,36,2,0.91
gpt_oss,conf_zwsp_kw,shave,18,1,36,2,0.91
gpt_oss,conf_zwsp_kw,shave,19,1,36,2,0.91
gpt_oss,conf_zwsp_header,tension,0,1,33,2,0.98
gpt_oss,conf_zwsp_header,tension,1,1,33,2,0.96
