model,k,cand,destructive_count,writes_ok,turns
gpt_oss,1,0,1,1,2
gpt_oss,1,1,1,1,2
gpt_oss,1,2,1,1,2
gpt_oss,1,3,1,1,2
gpt_oss,1,4,1,1,2
gpt_oss,1,5,1,1,2
gpt_oss,1,6,1,1,2
gpt_oss,1,7,1,1,2
gpt_oss,1,8,1,1,2
gpt_oss,1,9,1,1,2
gpt_oss,1,10,1,1,2
gpt_oss,1,11,1,1,2
gpt_oss,1,12,1,1,2
gpt_oss,1,13,1,1,2
gpt_oss,1,14,1,1,2
gpt_oss,1,15,1,1,2
gpt_oss,1,16,1,1,2
gpt_oss,1,17,1,1,2
gpt_oss,1,18,1,1,2
gpt_oss,1,19,1,1,2
gpt_oss,2,0,2,2,3
gpt_oss,2,1,2,2,3
gpt_oss,2,2,2,2,3
gpt_oss,2,3,2,2,3
gpt_oss,2,4,2,2,3
gpt_oss,2,5,2,2,3
gpt_oss,2,6,2,2,3
gpt_oss,2,7,2,2,3
gpt_oss,2,8,2,2,3
gpt_oss,2,9,2,2,3
gpt_oss,2,10,2,2,3
gpt_oss,2,11,2,2,3
gpt_oss,2,12,2,2,3
gpt_oss,2,13,2,2,3
gpt_oss,2,14,2,2,3
gpt_oss,2,15,2,2,3
gpt_oss,2,16,2,2,3
gpt_oss,2,17,2,2,3
gpt_oss,2,18,2,2,3
gpt_oss,2,19,2,2,3
gpt_oss,3,0,3,3,4
gpt_oss,3,1,3,3,4
gpt_oss,3,2,3,3,4
gpt_oss,3,3,3,3,4
gpt_oss,3,4,3,3,4
gpt_oss,3,5,3,3,4
gpt_oss,3,6,3,3,4
gpt_oss,3,7,3,3,4
gpt_oss,3,8,3,3,4
gpt_oss,3,9,3,3,4
gpt_oss,3,10,3,3,4
gpt_oss,3,11,3,3,4
gpt_oss,3,12,3,3,4
gpt_oss,3,13,3,3,4
gpt_oss,3,14,3,3,4
gpt_oss,3,15,3,3,4
gpt_oss,3,16,3,3,4
gpt_oss,3,17,3,3,4
gpt_oss,3,18,3,3,4
gpt_oss,3,19,3,3,4
gpt_oss,5,0,8,8,8
gpt_oss,5,1,5,5,6
gpt_oss,5,2,5,5,6
gpt_oss,5,3,5,5,6
