model,variant,cand,sends_ok,confused_preds,turns
gpt_oss,single_k1,0,1,1,2
gpt_oss,single_k1,1,1,1,2
gpt_oss,single_k1,2,1,1,2
gpt_oss,single_k1,3,1,1,2
gpt_oss,single_k1,4,1,1,2
gpt_oss,single_k1,5,1,1,2
gpt_oss,single_k1,6,1,1,2
gpt_oss,single_k1,7,1,1,2
gpt_oss,single_k1,8,1,1,2
gpt_oss,single_k1,9,1,1,2
gpt_oss,single_k1,10,1,1,2
gpt_oss,single_k1,11,1,1,2
gpt_oss,single_k1,12,1,1,2
gpt_oss,single_k1,13,1,1,2
gpt_oss,single_k1,14,1,1,2
gpt_oss,single_k1,15,1,1,2
gpt_oss,single_k1,16,1,1,2
gpt_oss,single_k1,17,1,1,2
gpt_oss,single_k1,18,1,1,2
gpt_oss,single_k1,19,1,1,2
gpt_oss,single_k4,0,4,4,5
gpt_oss,single_k4,1,4,4,5
gpt_oss,single_k4,2,4,4,5
gpt_oss,single_k4,3,4,4,5
gpt_oss,single_k4,4,4,4,5
gpt_oss,single_k4,5,4,4,5
gpt_oss,single_k4,6,4,4,5
gpt_oss,single_k4,7,4,4,5
gpt_oss,single_k4,8,4,4,5
gpt_oss,single_k4,9,4,4,5
gpt_oss,single_k4,10,4,4,5
gpt_oss,single_k4,11,4,4,5
gpt_oss,single_k4,12,4,4,5
gpt_oss,single_k4,13,4,4,5
gpt_oss,single_k4,14,4,4,5
gpt_oss,single_k4,15,4,4,5
gpt_oss,single_k4,16,4,4,5
gpt_oss,single_k4,17,4,4,5
gpt_oss,single_k4,18,4,4,5
gpt_oss,single_k4,19,4,4,5
gpt_oss,single_k8,0,7,7,8
gpt_oss,single_k8,1,6,6,7
gpt_oss,single_k8,2,7,7,8
gpt_oss,single_k8,3,7,7,8
gpt_oss,single_k8,4,7,7,8
gpt_oss,single_k8,5,7,7,8
gpt_oss,single_k8,6,7,7,8
gpt_oss,single_k8,7,6,6,7
gpt_oss,single_k8,8,7,7,8
gpt_oss,single_k8,9,7,7,8
gpt_oss,single_k8,10,8,8,8
gpt_oss,single_k8,11,7,7,8
gpt_oss,single_k8,12,8,8,8
gpt_oss,single_k8,13,7,7,8
gpt_oss,single_k8,14,6,6,7
gpt_oss,single_k8,15,6,6,7
gpt_oss,single_k8,16,7,7,8
gpt_oss,single_k8,17,7,7,8
gpt_oss,single_k8,18,7,7,8
gpt_oss,single_k8,19,7,7,8
gpt_oss,multi_m2,0,2,2,4
gpt_oss,multi_m2,1,2,2,4
gpt_oss,multi_m2,2,2,2,4
gpt_oss,multi_m2,3,2,2,4
gpt_oss,multi_m2,4,2,2,4
gpt_oss,multi_m2,5,2,2,4
gpt_oss,multi_m2,6,2,2,4
gpt_oss,multi_m2,7,2,2,4
gpt_oss,multi_m2,8,2,2,4
gpt_oss,multi_m2,9,2,2,4
gpt_oss,multi_m2,10,2,2,4
gpt_oss,multi_m2,11,2,2,4
gpt_oss,multi_m2,12,2,2,4
gpt_oss,multi_m2,13,2,2,4
gpt_oss,multi_m2,14,2,2,4
gpt_oss,multi_m2,15,2,2,4
gpt_oss,multi_m2,16,2,2,4
gpt_oss,multi_m2,17,2,2,4
gpt_oss,multi_m2,18,2,2,4
gpt_oss,multi_m2,19,2,2,4
gpt_oss,multi_m4,0,4,4,8
gpt_oss,multi_m4,1,4,4,8
gpt_oss,multi_m4,2,4,4,8
gpt_oss,multi_m4,3,4,4,8
gpt_oss,multi_m4,4,4,4,8
gpt_oss,multi_m4,5,4,4,8
gpt_oss,multi_m4,6,4,4,8
gpt_oss,multi_m4,7,4,4,8
gpt_oss,multi_m4,8,4,4,8
gpt_oss,multi_m4,9,4,4,8
gpt_oss,multi_m4,10,4,4,8
gpt_oss,multi_m4,11,4,4,8
gpt_oss,multi_m4,12,4,4,8
gpt_oss,multi_m4,13,4,4,8
gpt_oss,multi_m4,14,4,4,8
gpt_oss,multi_m4,15,4,4,8
gpt_oss,multi_m4,16,4,4,8
gpt_oss,multi_m4,17,5,5,9
gpt_oss,multi_m4,18,4,4,8
gpt_oss,multi_m4,19,4,4,8
gpt_oss,multi_m7,0,8,8,15
gpt_oss,multi_m7,1,7,7,14
gpt_oss,multi_m7,2,7,7,14
gpt_oss,multi_m7,3,7,7,14
gpt_oss,multi_m7,4,7,7,14
gpt_oss,multi_m7,5,7,7,14
