model,variant,cand,fired,true_gen_tokens,gen_chars,turns,wall_s
gpt_oss,exfil_base,0,1,20,61,2,1.11
gpt_oss,exfil_base,1,1,20,61,2,0.55
gpt_oss,exfil_base,2,1,20,61,2,0.54
gpt_oss,exfil_base,3,1,20,61,2,0.54
gpt_oss,exfil_base,4,1,20,61,2,0.57
gpt_oss,exfil_base,5,1,20,61,2,0.63
gpt_oss,exfil_base,6,1,20,61,2,0.61
gpt_oss,exfil_base,7,1,20,61,2,0.54
gpt_oss,exfil_base,8,1,20,61,2,0.52
gpt_oss,exfil_base,9,1,20,61,2,0.53
gpt_oss,exfil_base,10,1,20,61,2,0.53
gpt_oss,exfil_base,11,1,20,61,2,0.54
gpt_oss,exfil_base,12,1,20,61,2,0.53
gpt_oss,exfil_base,13,1,20,61,2,0.53
gpt_oss,exfil_base,14,1,20,61,2,0.54
gpt_oss,exfil_base,15,1,20,61,2,0.52
gpt_oss,exfil_base,16,1,20,61,2,0.54
gpt_oss,exfil_base,17,1,20,61,2,0.53
gpt_oss,exfil_base,18,1,20,61,2,0.53
gpt_oss,exfil_base,19,1,20,61,2,0.52
gpt_oss,exfil_shave,0,1,23,86,2,0.54
gpt_oss,exfil_shave,1,1,23,86,2,0.57
gpt_oss,exfil_shave,2,1,23,86,2,0.55
gpt_oss,exfil_shave,3,1,23,86,2,0.53
gpt_oss,exfil_shave,4,1,23,86,2,0.5
gpt_oss,exfil_shave,5,1,23,86,2,0.49
gpt_oss,exfil_shave,6,1,23,86,2,0.49
gpt_oss,exfil_shave,7,1,23,86,2,0.48
gpt_oss,exfil_shave,8,1,23,86,2,0.49
gpt_oss,exfil_shave,9,1,23,86,2,0.49
gpt_oss,exfil_shave,10,1,23,86,2,0.48
gpt_oss,exfil_shave,11,1,23,86,2,0.49
gpt_oss,exfil_shave,12,1,23,86,2,0.49
gpt_oss,exfil_shave,13,1,23,86,2,0.48
gpt_oss,exfil_shave,14,1,23,86,2,0.48
gpt_oss,exfil_shave,15,1,23,86,2,0.49
gpt_oss,exfil_shave,16,1,23,86,2,0.49
gpt_oss,exfil_shave,17,1,23,86,2,0.49
gpt_oss,exfil_shave,18,1,23,86,2,0.49
gpt_oss,exfil_shave,19,1,23,86,2,0.49
gpt_oss,conf_base,0,1,28,94,2,0.58
gpt_oss,conf_base,1,1,30,94,2,0.59
gpt_oss,conf_base,2,1,28,94,2,0.58
gpt_oss,conf_base,3,1,28,94,2,0.56
gpt_oss,conf_base,4,1,29,94,2,0.57
gpt_oss,conf_base,5,1,28,94,2,0.56
gpt_oss,conf_base,6,1,28,94,2,0.56
gpt_oss,conf_base,7,1,28,94,2,0.56
gpt_oss,conf_base,8,1,28,94,2,0.56
gpt_oss,conf_base,9,1,28,94,2,0.56
gpt_oss,conf_base,10,1,28,94,2,0.55
gpt_oss,conf_base,11,1,28,94,2,0.56
gpt_oss,conf_base,12,1,28,94,2,0.55
gpt_oss,conf_base,13,1,28,94,2,0.55
gpt_oss,conf_base,14,1,28,94,2,0.55
gpt_oss,conf_base,15,1,28,94,2,0.54
gpt_oss,conf_base,16,1,29,94,2,0.56
gpt_oss,conf_base,17,1,28,94,2,0.57
gpt_oss,conf_base,18,1,28,94,2,0.54
gpt_oss,conf_base,19,1,28,94,2,0.55
gpt_oss,conf_shave,0,1,31,118,2,0.57
gpt_oss,conf_shave,1,1,31,118,2,0.55
gpt_oss,conf_shave,2,1,31,118,2,0.53
gpt_oss,conf_shave,3,1,31,118,2,0.52
gpt_oss,conf_shave,4,1,32,118,2,0.53
gpt_oss,conf_shave,5,1,30,111,2,0.52
gpt_oss,conf_shave,6,1,31,118,2,0.53
gpt_oss,conf_shave,7,1,29,108,2,0.51
gpt_oss,conf_shave,8,1,29,109,2,0.51
gpt_oss,conf_shave,9,1,35,130,2,0.56
gpt_oss,conf_shave,10,1,29,108,2,0.52
gpt_oss,conf_shave,11,1,29,108,2,0.53
gpt_oss,conf_shave,12,1,29,108,2,0.53
gpt_oss,conf_shave,13,1,29,108,2,0.52
gpt_oss,conf_shave,14,1,29,107,2,0.53
gpt_oss,conf_shave,15,1,33,127,2,0.58
